catchment_poly_id,region,n_scenarios_top50,robustness_class,score_base,score_corisk_emphasis,score_service_emphasis,score_no_burden,score_death_heavy,score_admission_heavy,corisk_score,service_deficit_std
53,NA,1,Low robustness priority,0.6692607093843632,0.5923476125121057,0.7461738062566206,0.7436230104258085,0.5948984083429179,0.5948984083474469,0.487246020851617,1
98,NA,1,Low robustness priority,0.6657343272875181,0.6626457697161229,0.6688228848589132,0.7397048080953493,0.5917638464796869,0.5917638467304152,0.7294096161906987,0.75
136,NA,1,Low robustness priority,0.6639772209251281,0.6603029612001059,0.6676514806501501,0.7377524675832595,0.5902019742669966,0.5902019779361427,0.725504935166519,0.75
74,NA,1,Low robustness priority,0.663320824706856,0.5844277662756266,0.7422138831380853,0.7370231385625688,0.5896185108511431,0.5896185108529602,0.47404627712513775,1
133,NA,1,Low robustness priority,0.6624416919195663,0.5832555892250306,0.7416277946141019,0.7360463243515479,0.5888370594875846,0.5888370595164756,0.47209264870309586,1
206,NA,1,Low robustness priority,0.6613440455635877,0.5817920607508484,0.740896030376327,0.7348267172908691,0.5878613738363064,0.5878613738460262,0.4696534345817382,1
119,NA,1,Low robustness priority,0.6600323389130395,0.5800431185494894,0.7400215592765895,0.7333692654548334,0.5866954123712457,0.5866954124068691,0.46673853090966666,1
182,NA,1,Low robustness priority,0.6566126552411697,0.5754835403116717,0.7377417701706678,0.7295696169016731,0.5836556935806664,0.5836556941189577,0.4591392338033462,1
209,NA,1,Low robustness priority,0.6516749930968166,0.5688999907948386,0.7344499953987947,0.724083325660073,0.5792666605335605,0.5792666605492821,0.4481666513201461,1
68,NA,1,Low robustness priority,0.6498354971338555,0.56644732951098975,0.7332236647567212,0.7220394412571142,0.5776315530105967,0.5776315530238271,0.4440788825142284,1
59,NA,1,Low robustness priority,0.6489738766803542,0.5652985022387232,0.7326492511219852,0.7210820851945633,0.5768656681661453,0.5768656682118949,0.4421641703891266,1
188,NA,1,Low robustness priority,0.626730861189596,0.685641148237419,0.5678205741417729,0.6963676234927433,0.5570940988864487,0.5570941075357702,0.8927352469854866,0.5
144,NA,1,Low robustness priority,0.6141355477649143,0.6688473968672964,0.559423698662532,0.6823728303412739,0.5458982651885547,0.5458983249170822,0.8647456606825478,0.5
108,NA,0,Not prioritised,0.663680843016274,0.6599077906797106,0.6674538953528373,0.7374231588781224,0.5899385271544259,0.5899385282522643,0.7248463177562446,0.75
173,NA,0,Not prioritised,0.6602659603624337,0.6553546138082169,0.6651773069166504,0.7336288448192773,0.5869030759055902,0.5869030766896864,0.7172576896385545,0.75
124,NA,0,Not prioritised,0.6559344960343046,0.6495793280454044,0.6622896640232048,0.728816106703666,0.5830528853649434,0.583052885371744,0.7076322134073321,0.75
129,NA,0,Not prioritised,0.6546997889249879,0.6479330518957158,0.6614665259542598,0.7274442099024265,0.5819553679475493,0.5819553690555178,0.7048884198048531,0.75
127,NA,0,Not prioritised,0.6432819847290278,0.6327093129716123,0.6538546564864433,0.7147577608086149,0.5718062086494408,0.571806208654162,0.6795155216172297,0.75
210,NA,0,Not prioritised,0.6431712766186067,0.5575617021567766,0.728780851080437,0.7146347517938992,0.5717078014433143,0.5717078014680407,0.4292695035877984,1
109,NA,0,Not prioritised,0.6414397541511137,0.6302530055339715,0.6526265027682557,0.7127108379428597,0.5701686703593679,0.5701686703792569,0.6754216758857193,0.75
157,NA,0,Not prioritised,0.640603273817542,0.5541376984216856,0.7270688492133984,0.7117814153471453,0.5694251322879388,0.5694251323223809,0.42356283069429057,1
140,NA,0,Not prioritised,0.6403420974084655,0.6287894631967645,0.6518947316201662,0.7114912192943305,0.5691929755226006,0.5691929767465143,0.6729824385886609,0.75
77,NA,0,Not prioritised,0.6354038460065331,0.5472051280078208,0.7236025640052453,0.706004273337626,0.56480341867544,0.5648034186882308,0.41200854667525205,1
85,NA,0,Not prioritised,0.6346716298000127,0.546228839733011,0.7231144198670143,0.705190699776661,0.5641525598233643,0.5641525598274593,0.410381399553322,1
72,NA,0,Not prioritised,0.6325826404919495,0.5434435206550536,0.721721760328845,0.702869600543681,0.5622956804402179,0.5622956804540596,0.4057392010873619,1
13,NA,0,Not prioritised,0.6324152023382899,0.5432202697836412,0.7216101348929383,0.7026835581511715,0.5621468465254081,0.5621468465771836,0.4053671163023428,1
69,NA,0,Not prioritised,0.631894901611059,0.5425265354809371,0.7212632677411807,0.7021054462329274,0.5616843569891904,0.5616843570186086,0.4042108924658547,1
76,NA,0,Not prioritised,0.6313391010622427,0.5417854680780364,0.7208927340464489,0.7014878900526457,0.5611903120718396,0.5611903122013165,0.40297578010529134,1
240,NA,0,Not prioritised,0.6310440626440444,0.541392083525288,0.7206960417628008,0.7011600696041453,0.5609280556839435,0.5609280556845369,0.4023201392082906,1
143,NA,0,Not prioritised,0.6301091434062337,0.6151455245378044,0.6450727622746629,0.7001212704385691,0.5600970163738983,0.5600970260334043,0.6502425408771383,0.75
24,NA,0,Not prioritised,0.6288785921880009,0.5385047895838818,0.7192523947921199,0.6987539913196031,0.5590031930563988,0.5590031930571068,0.3975079826392063,1
151,NA,0,Not prioritised,0.6286103226399892,0.6131470968413913,0.6440735484385868,0.6984559140046742,0.5587647312753042,0.5587647324685512,0.6469118280093483,0.75
21,NA,0,Not prioritised,0.6282863970913513,0.5377151961172911,0.7188575980654114,0.6980959967531328,0.5584767974295697,0.5584767975355329,0.3961919935062656,1
185,NA,0,Not prioritised,0.627518963449334,0.6116919512556621,0.6433459756430058,0.6972432926877608,0.5577946342109075,0.557794649921077,0.6444865853755214,0.75
61,NA,0,Not prioritised,0.6272083943275997,0.6112778589801804,0.6431389296750187,0.6968982155086025,0.5575185731465966,0.5575186142151429,0.6437964310172052,0.75
30,NA,0,Not prioritised,0.626115446784228,0.5348205957105264,0.7174102978579295,0.6956838297543282,0.556547063814128,0.5565470638447154,0.3913676595086564,1
75,NA,0,Not prioritised,0.6258580231995408,0.5344773642659303,0.7172386821331511,0.695397803554632,0.5563182428444495,0.5563182428695678,0.39079560710926403,1
45,NA,0,Not prioritised,0.6258545819335468,0.5344727759077539,0.7172363879593396,0.6953939799140236,0.55631518395307,0.5563151840583241,0.3907879598280473,1
47,NA,0,Not prioritised,0.6257884388047372,0.5343845850652597,0.7171922925442148,0.6953204875350748,0.5562563900743996,0.5562563903873752,0.39064097507014967,1
44,NA,0,Not prioritised,0.6191257266809189,0.5255009689017973,0.7127504844600404,0.6879174740695948,0.550333979292243,0.5503339794876424,0.3758349481391895,1
